AT89C1051;7697;atmel_lock
AT89C1051U;7698;atmel_lock
AT89C2051;7713;atmel_lock
AT89C2051x2;7714;atmel_lock
AT89C4051;7745;atmel_lock
AT89C51;1987071;atmel_lock
AT89C51RC;1986823;atmel_lock
AT89C52;1987327;atmel_lock
AT89C55;1988095;atmel_lock
AT89C55WD;1987846;atmel_lock
AT89LS51;1986822;atmel_lock
AT89LS52;1987078;atmel_lock
AT89LS53;7779;atmel_lock
AT89LS8252;7810;avr_fuses
AT89LS8253;7811;avr_fuses
AT89LV51;1991167;atmel_lock
AT89LV52;1991423;atmel_lock
AT89LV55;1992191;atmel_lock
AT89S51;1986822;atmel_lock
AT89S52;1987078;atmel_lock
AT89S53;7763;atmel_lock
AT89S8252;7794;avr_fuses
AT89S8253;7795;avr_fuses
AT90S1200;2002945;avr_fuses
AT90S2313;2003201;avr_fuses
AT90S2333;2003205;avr_fuses
AT90S4414;2003457;avr_fuses
AT90S4433;2003459;avr_fuses
AT90S4434;2003458;avr_fuses
AT90S8515;2003713;avr_fuses
AT90S8535;2003715;avr_fuses
AT90SLS2313;2003201;avr_fuses
AT90SLS2333;2003205;avr_fuses
AT90SLS4414;2003457;avr_fuses
AT90SLS4433;2003459;avr_fuses
AT90SLS4434;2003459;avr_fuses
AT90SLS8515;2003713;avr_fuses
AT90SLS8535;2003715;avr_fuses
ATMEGA128;2004738;avr3_fuses
ATMEGA1284;2004742;avr3_fuses
ATMEGA1284P;2004741;avr3_fuses
ATMEGA128A;2004738;avr3_fuses
ATMEGA128L;2004738;avr3_fuses
ATMEGA16;2003971;avr2_fuses
ATMEGA162;2003972;avr3_fuses
ATMEGA162V;2003972;avr3_fuses
ATMEGA164A;2003983;avr3_fuses
ATMEGA164PA;2003978;avr3_fuses
ATMEGA165A;2003975;avr3_fuses
ATMEGA165P;2003973;avr3_fuses
ATMEGA165PA;2003975;avr3_fuses
ATMEGA165PV;2003973;avr3_fuses
ATMEGA168;2003974;avr3_fuses
ATMEGA168A;2003974;avr3_fuses
ATMEGA168PA;2003979;avr3_fuses
ATMEGA168V;2003974;avr3_fuses
ATMEGA169A;2003973;avr3_fuses
ATMEGA169P;2003973;avr3_fuses
ATMEGA169PA;2003973;avr3_fuses
ATMEGA169PV;2003973;avr3_fuses
ATMEGA16A;2003971;avr2_fuses
ATMEGA16L;2003971;avr2_fuses
ATMEGA32;2004226;avr2_fuses
ATMEGA324A;2004245;avr3_fuses
ATMEGA324PA;2004241;avr3_fuses
ATMEGA325A;2004237;avr3_fuses
ATMEGA325PA;2004237;avr3_fuses
ATMEGA328;2004244;avr3_fuses
ATMEGA328P;2004239;avr3_fuses
ATMEGA329A;2004235;avr3_fuses
ATMEGA329PA;2004235;avr3_fuses
ATMEGA32A;2004226;avr2_fuses
ATMEGA32L;2004226;avr2_fuses
ATMEGA48;2003461;avr3_fuses
ATMEGA48A;2003461;avr3_fuses
ATMEGA48PA;2003466;avr3_fuses
ATMEGA48V;2003461;avr3_fuses
ATMEGA64;2004482;avr3_fuses
ATMEGA644A;2004489;avr3_fuses
ATMEGA644PA;2004490;avr3_fuses
ATMEGA645A;2004493;avr3_fuses
ATMEGA645P;2004493;avr3_fuses
ATMEGA649A;2004491;avr3_fuses
ATMEGA649P;2004491;avr3_fuses
ATMEGA64A;2004482;avr3_fuses
ATMEGA64L;2004482;avr3_fuses
ATMEGA8;2003719;avr2_fuses
ATMEGA8515;2003718;avr2_fuses
ATMEGA8515L;2003718;avr2_fuses
ATMEGA8535;2003720;avr2_fuses
ATMEGA8535L;2003720;avr2_fuses
ATMEGA88;2003722;avr3_fuses
ATMEGA88A;2003722;avr3_fuses
ATMEGA88PA;2003727;avr3_fuses
ATMEGA88V;2003722;avr3_fuses
ATMEGA8A;2003719;avr2_fuses
ATMEGA8L;2003719;avr2_fuses
ATTINY11;2002948;avr_fuses
ATTINY11L;2002948;avr_fuses
ATTINY12;2002949;avr_fuses
ATTINY12L;2002949;avr_fuses
ATTINY12V;2002949;avr_fuses
ATTINY13;2002951;avr2_fuses
ATTINY13A;2002951;avr2_fuses
ATTINY13V;2002951;avr2_fuses
ATTINY15;2002950;avr_fuses
ATTINY15L;2002950;avr_fuses
ATTINY2313;2003210;avr3_fuses
ATTINY2313A;2003210;avr3_fuses
ATTINY2313V;2003210;avr3_fuses
ATTINY24;2003211;avr3_fuses
ATTINY24A;2003211;avr3_fuses
ATTINY24V;2003211;avr3_fuses
ATTINY25;2003208;avr3_fuses
ATTINY25V;2003208;avr3_fuses
ATTINY26;2003209;avr2_fuses
ATTINY26L;2003209;avr2_fuses
ATTINY28L;2003207;avr_fuses
ATTINY28V;2003207;avr_fuses
ATTINY4313;2003469;avr3_fuses
ATTINY44;2003463;avr3_fuses
ATTINY44A;2003463;avr3_fuses
ATTINY44V;2003463;avr3_fuses
ATTINY45;2003462;avr3_fuses
ATTINY45V;2003462;avr3_fuses
ATTINY84;2003724;avr3_fuses
ATTINY84A;2003724;avr3_fuses
ATTINY84V;2003724;avr3_fuses
ATTINY85;2003723;avr3_fuses
ATTINY85V;2003723;avr3_fuses
